"actor","actorid","quality_class","is_active","start_date","end_date","current_year"
"Willem Dafoe","nm0000353","good",True,1985,1985,1985
"Raul Julia","nm0000471","average",True,1987,1987,1987
"Johnny Depp","nm0000136","star",True,1986,1986,1986
"Carey Lowell","nm0000508","bad",True,1986,1988,1988
"Beverly D'Angelo","nm0000350","good",True,1983,1983,1983
"James Caan","nm0001001","average",True,1996,1996,1996
"Dan Aykroyd","nm0000101","bad",True,1990,1990,1990
"Tom Arnold","nm0000792","average",True,1997,1997,1997
"Uma Thurman","nm0000235","bad",True,2005,2006,2006
"Linden Ashby","nm0000798","good",False,2014,2015,2015
"Dustin Hoffman","nm0000163","good",True,1970,1971,1971
"Joss Ackland","nm0000722","average",True,1991,1992,1992
"Natalie Wood","nm0000081","bad",True,1975,1975,1975
"James Stewart","nm0000071","bad",True,1977,1978,1978
"Robert Hays","nm0001332","average",False,1986,1987,1987
"Jack Lemmon","nm0000493","bad",False,1987,1988,1988
"Robert Forster","nm0001233","average",True,2016,2016,2016
"Hector Elizondo","nm0001185","bad",True,2006,2007,2007
"Pete Postlethwaite","nm0000592","average",True,1992,1992,1992
"Ingrid Bergman","nm0000006","bad",True,1976,1976,1976
"Courteney Cox","nm0001073","bad",True,1987,1988,1988
"Ellen Burstyn","nm0000995","average",True,2007,2007,2007
"Kathy Baker","nm0000834","good",False,1991,1991,1991
"Susan Anton","nm0000772","bad",True,1982,1982,1982
"Marlon Brando","nm0000008","average",True,1997,1997,1997
"Blythe Danner","nm0001100","average",False,1984,1985,1985
"Jodie Foster","nm0000149","average",True,1999,1999,1999
"Valeria Golino","nm0000420","average",True,2005,2006,2006
"Stephen King","nm0000175","bad",False,2008,2011,2011
"Brendan Fraser","nm0000409","good",True,2004,2004,2004
"Jennifer Ehle","nm0000383","good",True,2019,2019,2019
"Powers Boothe","nm0000959","average",True,1985,1985,1985
"David Carradine","nm0001016","bad",True,1972,1972,1972
"Alan Alda","nm0000257","bad",False,1999,1999,1999
"Bill Paxton","nm0000200","bad",False,1999,1999,1999
"George Lucas","nm0000184","good",False,1998,2004,2004
"Lee Marvin","nm0001511","good",True,1980,1980,1980
"Larry Hagman","nm0001306","bad",True,1970,1970,1970
"Liam Neeson","nm0000553","good",True,1981,1981,1981
"Piper Laurie","nm0001453","average",True,2010,2010,2010
"Michelle Johnson","nm0001400","bad",False,2001,2003,2003
"Tim Allen","nm0000741","bad",False,1998,1998,1998
"Mia Farrow","nm0001201","good",True,1978,1978,1978
"Pamela Anderson","nm0000097","average",True,2018,2018,2018
"Illeana Douglas","nm0001152","average",False,2012,2012,2012
"Ralph Macchio","nm0001494","average",True,2014,2014,2014
"Ethan Hawke","nm0000160","star",False,1996,1996,1996
"Clint Eastwood","nm0000142","bad",True,1982,1982,1982
"William H. Macy","nm0000513","average",True,2002,2002,2002
"Alice Krige","nm0000481","average",False,2003,2003,2003
"Robert Englund","nm0000387","bad",True,2003,2003,2003
"Brian Keith","nm0001417","bad",False,1990,1992,1992
"Kris Kristofferson","nm0001434","bad",False,2015,2015,2015
"Christopher Lloyd","nm0000502","bad",True,1999,1999,1999
"Ellen DeGeneres","nm0001122","average",True,1999,1999,1999
"Jennifer Ehle","nm0000383","good",False,2013,2013,2013
"Ellen Barkin","nm0000289","bad",True,1991,1991,1991
"James Cromwell","nm0000342","bad",True,1981,1981,1981
"Nicole Eggert","nm0001176","bad",True,2000,2000,2000
"Donald Sutherland","nm0000661","average",True,1986,1986,1986
"Jonathan Frakes","nm0000408","average",True,1998,1998,1998
"Ed Begley Jr.","nm0000893","good",False,1975,1975,1975
"Teri Hatcher","nm0000159","bad",True,1996,1996,1996
"Joan Cusack","nm0000349","good",True,2009,2009,2009
"Emmanuelle Beart","nm0000322","bad",True,2004,2006,2006
"Eva Gabor","nm0001247","average",False,1980,1986,1986
"Jane Birkin","nm0000945","average",False,1996,1996,1996
"Jeffrey Combs","nm0001062","average",True,1990,1990,1990
"Charles Durning","nm0001164","average",True,2000,2000,2000
"Elias Koteas","nm0000480","average",True,2011,2011,2011
"Morgan Freeman","nm0000151","good",True,1997,1997,1997
"Billy Bob Thornton","nm0000671","good",True,1992,1993,1993
"Debi Mazar","nm0000529","average",False,2016,2016,2016
"Billy Campbell","nm0001004","average",False,2011,2011,2011
"Al Pacino","nm0000199","bad",True,2011,2011,2011
"Matthew Broderick","nm0000111","average",True,2015,2015,2015
"Elijah Wood","nm0000704","good",True,2005,2005,2005
"Billy Zane","nm0000708","bad",True,1991,1991,1991
"Julie Andrews","nm0000267","bad",False,1987,1990,1990
"Marcia Gay Harden","nm0001315","average",True,1991,1992,1992
"John Candy","nm0001006","bad",True,1975,1976,1976
"Robin Tunney","nm0000677","bad",False,1993,1994,1994
"Cuba Gooding Jr.","nm0000421","bad",True,2018,2018,2018
"Josh Brolin","nm0000982","bad",True,1999,2000,2000
"Mariel Hemingway","nm0000446","bad",True,1994,1994,1994
"Roger Corman","nm0000339","bad",True,1984,1984,1984
"Abel Ferrara","nm0001206","average",True,2009,2009,2009
"Alexis Arquette","nm0000793","average",True,1989,1989,1989
"Richard Dreyfuss","nm0000377","good",False,1976,1976,1976
"Annabeth Gish","nm0001272","bad",False,2012,2014,2014
"Richard Dreyfuss","nm0000377","bad",False,2005,2005,2005
"Richard Crenna","nm0001077","good",True,1972,1972,1972
"Jean Reno","nm0000606","bad",True,2011,2012,2012
"Jackie Chan","nm0000329","bad",True,2013,2013,2013
"Joan Chen","nm0001040","average",False,2013,2013,2013
"Jim Carrey","nm0000120","bad",False,2017,2019,2019
"Judd Nelson","nm0000555","bad",True,2003,2006,2006
"Ernest Borgnine","nm0000308","bad",True,2010,2011,2011
"Ralph Macchio","nm0001494","average",False,2015,2016,2016
"Sean Young","nm0000707","average",True,1984,1984,1984
"Michael Biehn","nm0000299","bad",True,2019,2020,2020
"Michelle Forbes","nm0000405","bad",False,2014,2014,2014
"Heather Graham","nm0001287","bad",True,2004,2008,2008
"David Thewlis","nm0000667","average",True,1999,2001,2001
"Sally Kirkland","nm0000476","average",True,1975,1976,1976
"Charlton Heston","nm0000032","good",True,1994,1994,1994
"Patsy Kensit","nm0000475","good",True,1989,1989,1989
"Joan Collins","nm0001058","bad",False,2018,2019,2019
"Mel Brooks","nm0000316","average",True,2018,2018,2018
"Richard Dreyfuss","nm0000377","average",False,2011,2012,2012
"Kate Beckinsale","nm0000295","bad",True,2018,2018,2018
"David Thewlis","nm0000667","good",True,2007,2010,2010
"Jack Nicholson","nm0000197","good",True,2007,2007,2007
"Swoosie Kurtz","nm0001436","bad",True,1999,2001,2001
"Miguel Ferrer","nm0001208","good",True,2000,2000,2000
"Kim Basinger","nm0000107","bad",True,1986,1988,1988
"Denholm Elliott","nm0001186","bad",True,1975,1975,1975
"Neve Campbell","nm0000117","bad",False,2009,2010,2010
"Swoosie Kurtz","nm0001436","good",True,2009,2009,2009
"Peter O'Toole","nm0000564","bad",False,1977,1977,1977
"Don Ameche","nm0000747","good",True,1983,1983,1983
"Timothy Dalton","nm0001096","bad",False,2002,2002,2002
"Lea Thompson","nm0000670","bad",False,2003,2004,2004
"Toni Collette","nm0001057","average",True,2005,2005,2005
"Robert Duvall","nm0000380","good",True,1997,1997,1997
"Laurence Olivier","nm0000059","bad",False,1982,1982,1982
"Chris Tucker","nm0000676","average",False,2002,2006,2006
"John Lynch","nm0001487","average",True,1995,1998,1998
"Fred Savage","nm0000625","average",True,1989,1989,1989
"Carey Lowell","nm0000508","bad",True,1990,1990,1990
"Erin Gray","nm0001292","bad",True,2014,2014,2014
"Dennis Hopper","nm0000454","average",False,1988,1988,1988
"John Cusack","nm0000131","good",True,1984,1985,1985
"Hal Holbrook","nm0001358","bad",True,2008,2008,2008
"Bill Cosby","nm0001070","bad",False,1997,2003,2003
"Christopher Walken","nm0000686","bad",True,2016,2017,2017
"Patrick Dempsey","nm0001131","average",True,1989,1990,1990
"Michael Gough","nm0001284","average",False,2000,2004,2004
"Charles Dance","nm0001097","average",True,1992,1994,1994
"Will Smith","nm0000226","bad",True,2013,2013,2013
"Meg Ryan","nm0000212","bad",False,1984,1985,1985
